node_id,child_node_id,message,node_type,major_symptom,other_symptoms,additional_information,diagnosis,details,recommended_doctor,recommended_lab_test,general_advice,causes,blog_url,media_url
0,1|2|3,"Do you know around 50 per cent of men have some form of Erections issue? Do not worry at all, it's normal! <br><br>Please tell me the age range you are in.",gq,null,null,null,null,null,null,null,null,null,null,null
1,4,18-30,r,null,18-30 years Age,null,null,null,null,null,null,null,null,null
2,4,31-45,r,null,31-45 years Age,null,null,null,null,null,null,null,null,null
3,4,45 and above,r,null,Age above 45 years,null,null,null,null,null,null,null,null,null
4,5|7|9|11,Let's start.. <br><br>Can you tell me how many times you try for an erection?,gq,null,null,null,null,null,null,null,null,null,null,null
5,6,Once in a few months,r,null,null,null,null,null,null,null,null,null,null,null
6,null,null,d,Erectile dysfunction,null,"Erectile Dysfunction or ED happens when a penis owner has ongoing problems getting and keeping an erection. Without treatment, ED can make sex difficult. The problem is commonly reported by 1 in 5 men and may increase with age.",You are recommended to increase frequency of sexual activity.,null,null,null,Increasing the frequency of your erections may help you in better erections.,"Some of the common causes of erectile dysfunction may include- Injury in the penis • Prostrate surgery • Surgery in the spinal cord • Diabetes • Low testosterone • High blood pressure • Neurological disorders • Cardiovascular disorder • Psychological factors like depression, anxiety, performance anxiety, stress poor self-concept, relationship issue with partner • Lack of privacy • Side-effect of certain medication for treating depression, anxiety and high blood pressure • Lifestyle factors- drug abuse, alcohol abuse and smoking.",null,null
7,12,1 to 3 times a month,r,null,null,null,null,null,null,null,null,null,null,null
9,12,4 to 6 times a week,r,null,null,null,null,null,null,null,null,null,null,null
11,12,Multiple times a day,r,null,null,null,null,null,null,null,null,null,null,null
12,13|14|16,Ok.. <br><br>And since when have you been experiencing the problem with your erection?,gq,null,null,null,null,null,null,null,null,null,null,null
13,17,A month,r,null,null,null,null,null,null,null,null,null,null,null
14,17,More than a month but less than 6 month,r,null,null,null,null,null,null,null,null,null,null,null
16,18,More than 6 months,r,null,null,null,null,null,null,null,null,null,null,null
17,20|21,"I get that.. <br><br> Please confirm, if you have got your testosterone level measured recently.",gq,null,null,null,null,null,null,null,null,null,null,null
20,22,"Yes, I have",r,null,null,null,null,null,null,null,null,null,null,null
22,24|25,"Great.. <br><br>Please help me understand that, how was the report?",gq,null,null,null,null,null,null,null,null,null,null,null
24,26,The testosterone report was Abnormal,r,null,null,null,null,null,null,null,null,null,null,null
26,null,null,d,Erectile Dysfunction,null,"Erectile Dysfunction (ED) happens when a penis owner has ongoing problems getting and keeping an erection. Without treatment, ED can make sex difficult. The problem is commonly reported by 1 in 5 men and may increase with age.",You are recommended a detailed examination ,null,Urologist/Andrologist,null,"Exercices like Kegel and yoga can be helpful the cure ED.|Relationship therapy, healthy lifestyle, healthy food habits, and relationship therapy ( if required) are the best advice for ED patients.","Some of the common causes of erectile dysfunction may include- Injury in the penis • Prostrate surgery • Surgery in the spinal cord • Diabetes • Low testosterone • High blood pressure • Neurological disorders • Cardiovascular disorder • Psychological factors like depression, anxiety, performance anxiety, stress poor self-concept, relationship issue with partner • Lack of privacy • Side-effect of certain medication for treating depression, anxiety and high blood pressure • Lifestyle factors- drug abuse, alcohol abuse and smoking.",null,null
25,23,The testosterone report was Normal,r,null,null,null,null,null,null,null,null,null,null,null
21,23,"No, I have not",r,null,null,null,null,null,null,null,null,null,null,null
23,28|29|30,Please help me understand a little bit about yourself.. <br><br> How often do you smoke?,gq,null,null,null,null,null,null,null,null,null,null,null
28,31,Regularly,dr,null,null,null,null,null,null,null,null,null,null,null
29,31,Occasionally,r,null,null,null,null,null,null,null,null,null,null,null
30,31,I do not smoke,r,null,null,null,null,null,null,null,null,null,null,null
31,32|33|34,"I get that..<br><br> And may I ask that. How often do you consume alcohol, if you consume?",gq,null,null,null,null,null,null,null,null,null,null,null
32,35,Regularly,dr,null,null,null,null,null,null,null,null,null,null,null
33,35,Occasionally,r,null,null,null,null,null,null,null,null,null,null,null
34,35,I do not take alcohol,r,null,null,null,null,null,null,null,null,null,null,null
35,36|37,"Understood.. You are doing wonderful, thanks for your cooperation <br><br> Do you take recreational drugs like Heroin/Opiates/Marijuana or any other?",gq,null,null,null,null,null,null,null,null,null,null,null
36,38,"Yes, I do ",dr,null,null,null,null,null,null,null,null,null,null,null
37,38,"No, I do not ",r,null,null,null,null,null,null,null,null,null,null,null
38,39|40,Alright.. <br><br>Please tell me if you have a sexual partner.,gq,null,null,null,null,null,null,null,null,null,null,null
39,41,Yes,r,null,null,null,null,null,null,null,null,null,null,null
40,999,No,r,null,null,null,null,null,null,null,null,null,null,null
41,42|43,Great.. <br><br> How is your relationship with your partner?,gq,null,null,null,null,null,null,null,null,null,null,null
42,44,Great,r,null,null,null,null,null,null,null,null,null,null,null
43,44,Not too great,dr,null,null,null,null,null,null,null,null,null,null,null
44,45|46,"Ok.. <br><br> Do you generally experience the fear of hurting your partner, contracting STI, or making your partner pregnant while having intercourse?",gq,null,null,null,null,null,null,null,null,null,null,null
45,50,Yes,dr,null,null,null,null,null,null,null,null,null,null,null
46,50,No,r,null,null,null,null,null,null,null,null,null,null,null
50,51|52,Just a few more to go.. <br><br>Do you both have a lack of privacy at your place when it comes to having intercourse?,gq,null,null,null,null,null,null,null,null,null,null,null
51,53,Yes,dr,null,null,null,null,null,null,null,null,null,null,null
52,53,No,r,null,null,null,null,null,null,null,null,null,null,null
53,54|55,Hmm.. <br><br>Do you get nervous or worry about erections while having intercourse?,gq,null,null,null,null,null,null,null,null,null,null,null
54,999,Yes ,dr,null,null,null,null,null,null,null,null,null,null,null
