node_id,child_node_id,message,node_type,major_symptom,other_symptoms,additional_information,diagnosis,details,recommended_doctor,recommended_lab_test,general_advice,causes,blog_url,media_url
0,1|2|3,"Please note..not being able to conceive doesn’t mean you cannot conceive. In today's time, conception is possible in 90 per cent of complicated issues as well.<br><br>Can you first tell me for how long have you and your partner been trying to conceive without any protection?",gq,null,null,null,null,null,null,null,null,null,null,null
1,4,Less than 6 months,r,null,Trying for less than 6 months,null,null,null,null,null,null,null,null,null
2,12,More than 6 months but less than a year,r,null,Trying for more than 6 months but less than a year,null,null,null,null,null,null,null,null,null
3,14,More than 1 year,r,null,Trying for more than 1 year,null,null,null,null,null,null,null,null,null
4,5|21,Alright.. <br><br>Do you think that your erections during the sexual activity are not as good or long as you want them to be?,gq,null,null,null,null,null,null,null,null,null,null,null
5,6,"Yes, I think my erections can be better ",r,null,Trouble maintaining an erection during penetration,null,null,null,null,null,null,null,null,null
6,8|7,"Not to worry at all, most of the time, that’s treatable.. <br><br>Just the last one, do you think that you have firm erections at other times of the day like early morning, right after you wake up, masturbation but not during the sexual intercourse with your partner.",gq,null,null,null,null,null,null,null,null,null,null,null
7,9,"No, I have similar erections all the time.",r,null,"No,  firm erections at other times too",null,null,null,null,null,null,null,null,null
9,null,null,d,Infertility,null,"Erectile Dysfunction (ED) happens when a penis owner has ongoing problems getting and keeping an erection. Without treatment, ED can make sex difficult. The problem is commonly reported by 1 in 5 men and may increase with age.",Low risk of Erectile Dysfunction,null,Urologist/Andrologist,null,"Exercices like Kegel and yoga can be very helpful to cure ED.|Relationship therapy, healthy lifestyle, healthy food habits and relationship therapy ( if required) are best advised for ED patients.",null,null,null
8,10,"Yes, I have firm/satisfactory erections during other times or activities in the day.",r,null,Firm erection at other times of the day,null,null,null,null,null,null,null,null,null
