node_id,child_node_id,message,node_type,major_symptom,other_symptoms,additional_information,diagnosis,details,recommended_doctor,recommended_lab_test,general_advice,causes,blog_url,media_url
0,1|23|65,"Pain during sex is normal and is treatable in most cases. <br><br>Can you please tell me, how long have you had pain during sex?",gq,null,null,null,null,null,null,null,null,null,null,null
1,2,Since I became sexually active,r,null,Pain since I became sexually active,null,null,null,null,null,null,null,null,null
2,3|5,I get that.. <br><br> Do you have difficulty retracting the prepuce (foreskin),gq,null,null,null,null,null,null,null,null,null,null,null
3,4,Yes,r,null,Difficulty in retracting prepuce (foreskin),null,null,null,null,null,null,null,null,null
4,null,null,d,Pain during sex,null,"Phimosis is a condition of the penis that occurs in some adults and children who aren’t circumcised. If you have phimosis, your foreskin can’t be pulled back (retracted).",Moderate risk of Phimosis,null,Urologist/Andrologist,null,Your healthcare provider will probably suggest a steroid cream to apply to the skin of your penis.|you gently start stretching the foreskin after about two weeks of using the steroid cream.|You may gently start stretching the foreskin after about two weeks of using the steroid cream.,null,null,null
5,6,No,r,null,null,null,null,null,null,null,null,null,null,null
6,7|8,And.. <br><br>Have you ever noticed curvature in the penis (penis not straight) during erection?,gq,null,null,null,null,null,null,null,null,null,null,null
7,10,Yes,r,null,Curvature noticed in the penis during erection,null,null,null,null,null,null,null,null,null
10,null,null,d,Pain during sex,null,"Penile deformity is a condition where scar tissue causes the penis to curve or lose length or girth. In some cases, it can cause pain and prevent the penis owner from having sex",Moderate risk of Penile Deformity,null,Urologist/Andrologist,null,"If you have very little penis curvature with no pain and no problems with sex, you may not need to be treated at all.| In some cases, the curvature might go away without treatment.",null,null,null
8,9,No,r,null,null,null,null,null,null,null,null,null,null,null
9,11|12,Ok.. <br><br>Do you feel it is not easy for you to initiate or maintain an erection during intercourse?,gq,null,null,null,null,null,null,null,null,null,null,null
11,13,"Yes, it's difficult for me ",r,null,Difficulty initiating or maintaining an erection during intercourse,null,null,null,null,null,null,null,null,null
13,null,null,d,Pain during sex,null,null,Moderate risk of Erectile Dysfunction,"Attempting penetration without sufficient rigidity can result in repeated trauma to the penis, which results in pain",Urologist/Andrologist,null,null,null,null,null
12,14,No or I am not sure ,r,null,null,null,null,null,null,null,null,null,null,null
14,15|16,Understood!.. Do you feel that your and your partner's genitals are lubricated enough while having intercourse?,gq,null,null,null,null,null,null,null,null,null,null,null
15,18,"Yes, we are lubricated.",r,null,null,null,null,null,null,null,null,null,null,null
17,null,null,d,Pain during sex,null,null,Looks like there is Insufficient Lubrication,"Lubrication is essential for easy penetration. Although the male and female partners produce fluids naturally to assist penetration, sometimes this may be insufficient",Psychiatrist (Sexology),You may use lubricants which are easily available in pharmacies,null,null,null,null
16,17,"No, we feel dry down there.",r,null,Insufficient lubrication during intercourse,null,null,null,null,null,null,null,null,null
18,19|20,Great!.. <br><br>Do you enjoy having sex with your partner?,gq,null,null,null,null,null,null,null,null,null,null,null
19,22,"Yes, I enjoy",r,null,null,null,null,null,null,null,null,null,null,null
22,null,null,d,Pain during sex,null,null,The Issue remains Unidentified,The cause of your symptoms is not clear,Urologist/Andrologist,null,null,null,null,null
20,21,No or I am not sure ,r,null,May not be enjoying sex with partner,null,null,null,null,null,null,null,null,null
21,null,null,d,Pain during sex,null,null,The reason seems to be psychological/relationship based,null,Psychiatrist (Sexology),null,null,null,null,null
23,24,It's been more than a month now ,r,null,"More than 1 month, I was fine before that",null,null,null,null,null,null,null,null,null
24,25|26,I get that.. <br><br> Do you have difficulty retracting the prepuce (foreskin),gq,null,null,null,null,null,null,null,null,null,null,null
25,27,"Yes, I find it difficult",r,null,Developed inability to retract the prepuce (foreskin),null,null,null,null,null,null,null,null,null
27,null,null,d,Pain during sex,null,null,Moderate risk of Phimosis,Phimosis is the inability to completely retract the prepuce (foreskin),null,null,Your healthcare provider will probably suggest a steroid cream to apply to the skin of your penis.|you gently start stretching the foreskin after about two weeks of using the steroid cream.|You may gently start stretching the foreskin after about two weeks of using the steroid cream.,null,null,null
26,28,"No, I don’t think it's difficult",r,null,null,null,null,null,null,null,null,null,null,null
28,29|30,Ok.. <br><br>Do you feel it's not easy for you to initiate or maintain an erection during intercourse?,gq,null,null,null,null,null,null,null,null,null,null,null
29,31,"Yes, it is difficult for me ",r,null,Difficulty initiating or maintaining an erection during intercourse,null,null,null,null,null,null,null,null,null
31,null,null,d,Pain during sex,null,null,Moderate risk of Erectile Dysfunction,"Attempting penetration without sufficient rigidity can result in repeated trauma to the penis, which results in pain",Urologist/Andrologist,null,null,null,null,null
30,32,No or I am not sure ,r,null,null,null,null,null,null,null,null,null,null,null
32,33|34,And.. <br><br>Have you ever noticed curvature in the penis (penis not straight) during erection?,gq,null,null,null,null,null,null,null,null,null,null,null
33,35,Yes,r,null,Curvature noticed in the penis during erection,null,null,null,null,null,null,null,null,null
