node_id,child_node_id,message,node_type,major_symptom,other_symptoms,additional_information,diagnosis,details,recommended_doctor,recommended_lab_test,general_advice,causes,blog_url,media_url
0,1|2|3,Are you aware around 35% of men across the world experience premature ejaculation.. <br><br>Please tell me about your age range?,gq,null,null,null,null,null,null,null,null,null,null,null
1,4,18-30 Years,r,null,null,18-30 Years,null,null,null,null,null,null,null,null
2,4,30-45 Years,r,null,null,30-45 Years,null,null,null,null,null,null,null,null
3,4,Above 45 years,r,null,null,Above 45 years,null,null,null,null,null,null,null,null
4,5|6|8,Alright.. <br><br>Can you help me understand how difficult it gets generally for you to hold your ejaculation?,gq,null,null,null,null,null,null,null,null,null,null,null
5,9,Extremely difficult,or,null,Ejaculation extremely difficult,null,null,null,null,null,null,null,null,null
6,9,Moderately difficult,or,null,Ejaculation moderately difficult,null,null,null,null,null,null,null,null,null
8,9,Not difficult at all,r,null,Ejaculation not difficult,null,null,null,null,null,null,null,null,null
9,10|11|13|14,I get that.. <br><br>And does ejaculation always happen before you want it to?,gq,null,null,null,null,null,null,null,null,null,null,null
10,15,Always ,or,null,Ejaculation happens before desired,null,null,null,null,null,null,null,null,null
11,15,Mostly,or,null,Ejaculation happens before desired,null,null,null,null,null,null,null,null,null
13,15,Only sometimes ,r,null,Ejaculation happens normally,null,null,null,null,null,null,null,null,null
14,15,Never,r,null,Ejaculation happens normally,null,null,null,null,null,null,null,null,null
15,16|17|19|20,Understood!.. <br><br>Do you feel that you always ejaculate with very little stimulation only?,gq,null,null,null,null,null,null,null,null,null,null,null
16,21,I Always ejaculate with little stimulation ,or,null,Ejaculation happens with little stimulation,null,null,null,null,null,null,null,null,null
17,21,Mostly I ejaculate with little stimulation ,or,null,Ejaculation happens with little stimulation,null,null,null,null,null,null,null,null,null
19,21,Only sometimes otherwise it's fine ,r,null,Ejaculation happens normally,null,null,null,null,null,null,null,null,null
20,21,Never,r,null,Ejaculation happens normally,null,null,null,null,null,null,null,null,null
21,22|23|24,"hmm.. <br><br>It will me understand if you can tell which one of the following, you think is your experience.",aq,null,null,null,null,null,null,null,null,null,null,null
22,30,I ejaculate before sexual activity (foreplay/oral sex/masturbation/penetration) starts,ar,null,Ejaculation happens before sexual activity,null,null,null,null,null,null,null,null,null
23,30,"I ejaculate just at the start of sexual activity (foreplay, oral sex, masturbation, partner masturbation)",ar,null,Ejaculation happens at start of sexual activity,null,null,null,null,null,null,null,null,null
24,25,I ejaculate after penetration or masturbation,ar,null,null,null,null,null,null,null,null,null,null,null
25,27|28|29,Ok.. <br><br>And how long does it generally take for you to ejaculate after you penetrate or masturbate?,aq,null,null,null,null,null,null,null,null,null,null,null
27,30,Less than 30 seconds ,ar,null,Ejaculation happens within 30 seconds of sexual activity,null,null,null,null,null,null,null,null,null
28,30,30 seconds - 1 minute,ar,null,Ejaculation happens within 30 seconds to 1 minute of sexual activity,null,null,null,null,null,null,null,null,null
29,30,More than 1 minute,r,null,Ejaculation happens after 1 minute of sexual activity,null,null,null,null,null,null,null,null,null
30,31|32,hmm.. <br><br> Do you think that this problem exists forever?,gq,null,null,null,null,null,null,null,null,null,null,null
31,33,"Yes, The problem has been present ever since you became sexually active",r,null,The symptom has been present ever since patient became sexually active,null,null,null,null,null,null,null,null,null
32,33,"No, The problem has started recently, earlier I used to have  normal sexual function",r,null,The symptom began after a period of normal sexual function,null,null,null,null,null,null,null,null,null
33,34|35|36,"No, The problem has started recently, earlier I used to have  normal sexual function",aq,null,null,null,null,null,null,null,null,null,null,null
34,39,More than 6 months,ar,null,The symptom exists since more than 6 months,null,null,null,null,null,null,null,null,null
35,39,Around 6 months,ar,null,The symptom exists since 6 months,null,null,null,null,null,null,null,null,null
36,39,Less than 6 months ,r,null,The symptom exists since 1-6 months,null,null,null,null,null,null,null,null,null
39,40|41|42,Ok.. <br><br>Is the problem causing a lot of stress in your life?,aq,null,null,null,null,null,null,null,null,null,null,null
40,44,A lot of stress,ar,null,Problem causing a lot of stress,null,null,null,null,null,null,null,null,null
41,43,To some extent,r,null,Problem causing some stress,null,null,null,null,null,null,null,null,null
42,43,Not at all,r,null,Problem causing no stress,null,null,null,null,null,null,null,null,null
43,null,null,d,Premature ejaculation,null,null,You seem to be fine as the symptoms are not causing significant stress in you. If the problem persists kindly consult the recommended doctor,null,Psychiatrist (Sexology),null,"Some self-help techniques for dealing with premature ejaculation:|Exercising regularly|Consuming food rich in zinc and magnesium, as they may help increase the time to climax.|Using thick condoms to reduce sensation|Masturbating 1- 2 hours before sex",null,null,null
44,45|46,"Can you confirm please, if you have a sexual partner?",gq,null,null,null,null,null,null,null,null,null,null,null
45,50,Yes,r,null,null,null,null,null,null,null,null,null,null,null
46,56,No,r,null,null,null,null,null,null,null,null,null,null,null
50,51|52,"Understood!.. <br><br>While having intercourse with your partner, do you worry about ejaculating too early?",gq,null,null,null,null,null,null,null,null,null,null,null
51,53,Yes,dr,null,Worries about early ejaculation during sexual activity,null,null,null,null,null,null,null,null,null
52,53,No,r,null,null,null,null,null,null,null,null,null,null,null
53,54|55,"I get that.. <br><br>Please help me understand, are you happy with your partner in your relationship?",gq,null,null,null,null,null,null,null,null,null,null,null
54,56,"Yes, I am happy",r,null,null,null,null,null,null,null,null,null,null,null
55,56,No or I am not sure ,dr,null,Not happy with partner,null,null,null,null,null,null,null,null,null
56,57|58,We are almost there.. <br><br>Do you feel that at times you forcefully stimulate/aroused yourself instead of getting aroused and excited yourself?,gq,null,null,null,null,null,null,null,null,null,null,null
57,59,"Yes, I do not get aroused or stimulated from foreplay ",dr,null,Forceful stimulation,null,null,null,null,null,null,null,null,null
58,59,"No, I am generally aroused and stimulated ",r,null,null,null,null,null,null,null,null,null,null,null
