node_id,child_node_id,message,node_type,major_symptom,other_symptoms,additional_information,diagnosis,details,recommended_doctor,recommended_lab_test,general_advice,causes,blog_url,media_url
0,1|2,Experts estimate around 75 per cent of vulva owners find sex painful at some point in their life.. <br><br> let us find out how can I help you ?<br><br>Please tell me about your age range,gq,null,null,null,null,null,null,null,null,null,null,null
1,3,Less than 42 years,r,null,Age under 42 years,null,null,null,null,null,null,null,null,null
3,6|7,Ok..<br><br>And since how long do you think you are facing pain during intercourse?,gq,null,null,null,null,null,null,null,null,null,null,null
6,8,Since the day I am sexually active,r,null,Pain since sexually active,null,null,null,null,null,null,null,null,null
8,9|10|11,Ok..<br><br>Please help me understand in which situation you experience more pain.,gq,null,null,null,null,null,null,null,null,null,null,null
9,43,During deep penetration,r,null,Pain during deep penetration,null,null,null,null,null,null,null,null,null
43,44|45,I get that.. <br><br>Do you also experience any pain during your periods?,gq,null,null,null,null,null,null,null,null,null,null,null
45,47,"No, I do not have pain during periods",r,null,null,null,null,null,null,null,null,null,null,null
47,48|49,Good to hear that.. <br><br>And what about any regular pain in your lower abdomen?,gq,null,null,null,null,null,null,null,null,null,null,null
48,50,"Yes,  at times",r,null,Pain in lower abdomen,null,null,null,null,null,null,null,null,null
50,null,null,d,Pain during sex,null,"Pelvic inflammatory disease (PID) is an infection of the female reproductive organs. It most often occurs when sexually transmitted bacteria spread from your vagina to your uterus, fallopian tubes or ovaries.",Moderate risk of Pelvic Inflamatory Disease (PID),null,Gynaecologist,null,Practice safe or protected sex.|Get yourself tested and get your partner also tested.|Avoid having sex until the symptoms subside at least.|Do not douche,"Many types of bacteria can cause PID. These bacteria are usually acquired during unprotected sex. Less commonly these bacteria can enter your reproductive tract during menstruation, after childbirth, miscarriage or abortion.",null,null
49,51,"No, not at all",r,null,null,null,null,null,null,null,null,null,null,null
51,52|53,That's nice.. <br><br>Was wondering if you noticed any vaginal discharge?,gq,null,null,null,null,null,null,null,null,null,null,null
53,54,No,r,null,null,null,null,null,null,null,null,null,null,null
54,null,null,d,Pain during sex,null,"In many cases, a woman can experience painful sex if there is not sufficient vaginal lubrication. When this occurs, the pain can be resolved if the female becomes more relaxed, if the amount of foreplay is increased, or if the couple uses a sexual lubricant. In other cases a woman can experience painful sex due to other psychological or physical issues.",No physical symptom noticed. ,null,Relationship Therapist,null,Increasing the time of your foreplay may be helpful in arousal and natural lubrication.|You may also try using water-based lubrication.|Talking to your partner always helps.|If the problem persists please consult a gynaecologist to clear your doubts.,null,null,null
52,999,Yes,r,null,null,null,null,null,null,null,null,null,null,null
999,55|56|57|58|59|60,"Not to worry, discharges are also common.. <br><br>What is the colour of the discharge mostly?",gq,null,null,null,null,null,null,null,null,null,null,null
55,61,Green,r,null,Green vaginal discharge,null,null,null,null,null,null,null,null,null
56,61,Brown,r,null,Brown vaginal discharge,null,null,null,null,null,null,null,null,null
57,61,Yellow,r,null,Yellow vaginal discharge,null,null,null,null,null,null,null,null,null
58,61,White and curd-like,r,null,White and curd-like vaginal discharge,null,null,null,null,null,null,null,null,null
59,62,Colourless,r,null,Colourless vaginal discharge,null,null,null,null,null,null,null,null,null
