node_id,child_node_id,message,node_type,major_symptom,other_symptoms,additional_information,diagnosis,details,recommended_doctor,recommended_lab_test,general_advice,causes,blog_url,media_url
0,1|2|3,"Pain during periods is common, nothing to worry about.. <br><br>Please help me understand, when does the pain/cramps in the stomach start?",gq,null,null,null,null,null,null,null,null,null,null,null
1,4,With the starting of the periods,r,null,Pain starts with starting of periods,null,null,null,null,null,null,null,null,null
2,4,One day before the period starts,r,null,Pain starts one day before the periods,null,null,null,null,null,null,null,null,null
4,5|6,Thank you.. <br><br> And how long does the pain last?,gq,null,null,null,null,null,null,null,null,null,null,null
5,8,Pain stays throughout my period cycle or remains for first 1-2 days.,r,null,Pain stays throughout your period cycle or remains for first 1-2 days.,null,null,null,null,null,null,null,null,null
8,9|10|11|12,I get that.. <br><br> Is the pain accompanied by any of the following?,gq,null,null,null,null,null,null,null,null,null,null,null
9,26,Nausea/Vomiting,r,null,Nausea/Vomiting during pain,null,null,null,null,null,null,null,null,null
10,26,Headache,r,null,Headache with pain,null,null,null,null,null,null,null,null,null
11,26,Loose Motions,r,null,Loose Motions with pain,null,null,null,null,null,null,null,null,null
3,7,Pain starts 3-5 days before the period starts,r,null,Pain starts 3-5 days before the period starts,null,null,null,null,null,null,null,null,null
7,19|20,I get that.. <br><br> Does pain stops with the starting of the period?,gq,null,null,null,null,null,null,null,null,null,null,null
19,21,Yes,r,null,Pain stops with starting of the period,null,null,null,null,null,null,null,null,null
21,22|23|24|25,Is the pain accompanied by any of the following,gq,null,null,null,null,null,null,null,null,null,null,null
22,26,Nausea/Vomiting,r,null,Nausea/Vomiting,null,null,null,null,null,null,null,null,null
23,26,Headache,r,null,Headache,null,null,null,null,null,null,null,null,null
24,26,Loose Motions,r,null,Loose Motions,null,null,null,null,null,null,null,null,null
26,28|29|30,"Ok.. <br><br>Can you tell me, how severe is the pain?",gq,null,null,null,null,null,null,null,null,null,null,null
28,31,I can do daily activities but with little difficulty,r,null,Little difficulty in doing daily activities,null,null,null,null,null,null,null,null,null
31,null,null,d,Painful Periods,null,null,"You seem to be absolutely fine, no need to worry!",null,null,null,Rest and relax|Keep yourself hydrated|Gentle massage to abdominal and lower back|Do gentle exercise to improve flow of blood to pelvic area,null,null,null
29,32,I can not do daily activities at all,r,null,Difficulty in doing daily activities,null,null,null,null,null,null,null,null,null
30,32,I am bedridden during periods,r,null,Completely bedridden during periods,null,null,null,null,null,null,null,null,null
32,null,null,d,Painful Periods,null,null,You are at a moderate risk of primary dysmenorrhoea,null,Gynaecologist,null,Rest and relax|Keep yourself hydrated|Gentle massage to abdominal and lower back|Do gentle exercise to improve flow of blood to pelvic area,null,null,null
25,27,None of the above,r,null,null,null,null,null,null,null,null,null,null,null
27,33|35|36,"Ok.. <br><br>Can you tell me, how severe is the pain?",gq,null,null,null,null,null,null,null,null,null,null,null
33,34,I can do daily activities but with little difficulty,r,null,Little difficulty in doing daily activities,null,null,null,null,null,null,null,null,null
34,null,null,d,Painful Periods,null,null,"You seem to be absolutely fine, no need to worry!",null,null,null,Rest and relax|Keep yourself hydrated|Gentle massage to abdominal and lower back|Do gentle exercise to improve flow of blood to pelvic area,null,null,null
35,37,I can not do daily activities at all,r,null,Difficulty in doing daily activities,null,null,null,null,null,null,null,null,null
36,37,I am bedridden during periods,r,null,Completely bedridden during periods,null,null,null,null,null,null,null,null,null
37,38|39|40|41|43,Understood!.. <br><br>Please also tell me about the associated problems by selecting them.,mrq,null,null,null,null,null,null,null,null,null,null,null
38,42,I am facing infertility issues,mr,null,Infertility,null,null,null,null,null,null,null,null,null
39,42,I experience pain during deep penetration while doing sexual activity,mr,null,Pain during deep penetration while doing sexual activity,null,null,null,null,null,null,null,null,null
40,42,I experience lower back pain,mr,null,Pain in lower back,null,null,null,null,null,null,null,null,null
41,42,I experience pain during passing urine or stool,mr,null,Pain during urine/stool,null,null,null,null,null,null,null,null,null
