node_id,child_node_id,message,node_type,major_symptom,other_symptoms,additional_information,diagnosis,details,recommended_doctor,recommended_lab_test,general_advice,causes,blog_url,media_url
0,1|2,"In India 70% women have never experienced orgasm. <br><br> Are you sure, you know what an Orgasm is?",gq,null,null,null,null,null,null,null,null,null,null,null
2,3,No,r,null,Do not know what orgasm is.,null,null,null,null,null,null,null,null,null
3,null,null,d,Difficulty Having Orgasm,null,"An orgasm is when a person reaches peak
pleasure. Males usually ejaculate (cum) upon
reaching orgasm and females experience vaginal
wall contractions.Some females may also ejaculate
while experiencing an orgasm. During orgasm there
is intense feeling of pleasure not only in the genitals
but also throughout the body.It is accompanied by a
series of physical sensations like involuntary release
of muscle tension, muscular contractions (the
muscles in the vagina or penis or anus contract
about once per 5-8 times), verbal and auditory
emission of pleasure, increased heart and breathing
rate so on and so forth. Just after an orgasm, the
clitoris or the head of the penis (glans of the penis)
may feel very sensitive or uncomfortable to touch.
The individual may have ?sex flush?wherein the
colour of the chest, neck and face changes for a
short duration.There is also release of endorphins (
feel-good hormones) because of which an individual
feels relaxed, happy and sleepy",null,null,null,null,null,null,null,null
1,4,Yes,r,null,null,null,null,null,null,null,null,null,null,null
4,5|6|7|8,Good.. <br><br>Please help me understand which of the following  is applicable to your condition?,gq,null,null,null,null,null,null,null,null,null,null,null
5,12,I used to have orgasam earlier but now I do not achive orgasm.,or,null,Used to have orgasm earlier,null,null,null,null,null,null,null,null,null
6,9,"I am able to have orgasm only in specific siituations, such as oral sex, masturbation or a specific partner ",or,null,Orgasm happens under specific circumstances,null,null,null,null,null,null,null,null,null
7,26,I have never had orgasm ever since I have been sexually active,ur,null,Never had orgasm,null,null,null,null,null,null,null,null,null
8,9,None of the above,r,null,null,null,null,null,null,null,null,null,null,null
9,10|11,"Ok.. <br>br>When Orgasm happens, Do you feel it is generally delayed than expected?",gq,null,null,null,null,null,null,null,null,null,null,null
10,12,"Yes, most of the times",or,null,Delayed orgasm,null,null,null,null,null,null,null,null,null
11,12,"No, I don’t think so",r,null,null,null,null,null,null,null,null,null,null,null
12,14|16,I understand.. <br><br>Since when do you think you have been experiencing difficulty in achieving orgasm?,aq,null,null,null,null,null,null,null,null,null,null,null
14,22,More than 6 months,ar,null,Difficulty having orgasm since more than six months,null,null,null,null,null,null,null,null,null
16,22,Less than 6 months,r,null,Difficulty having orgasm since less than six months,null,null,null,null,null,null,null,null,null
22,23|24,Thanks for sharing.. <br><br>Is this problem causing lot of stress in your life?,aq,null,null,null,null,null,null,null,null,null,null,null
23,26,"yes, a lot",ar,null,Problem causing stress in life,null,null,null,null,null,null,null,null,null
24,25,Not much or I am not sure,r,null,null,null,null,null,null,null,null,null,null,null
25,null,null,d,Difficulty Having Orgasm,null,null,You seem to be not needing any expert intervention as of now.,Difficulty having orgasm is very common in women. Its important to find the rrot to your own pleasure and thus to find the cause and work on it. ,null,null,Talking to your partner about it can be a good idea | Taking counselling from a relationship therapist can be helpful too | Make sure you are not thinking about anything else at the time of the activity and just try to enjoy the activity as much as possible ,null,null,null
26,27|28,"If I may ask, do you have a sexual partner?",gq,null,null,null,null,null,null,null,null,null,null,null
27,29,Yes,r,null,Have sexual partner.,null,null,null,null,null,null,null,null,null
28,38,No,r,null,Do not have sexual partner,null,null,null,null,null,null,null,null,null
29,30|31,Great.. <br><br>DO you think you have poor communication between you and your partner regarding sexual needs?,gq,null,null,null,null,null,null,null,null,null,null,null
30,32,"Yes, we do not talk much about sexual needs and desires ",dr,null,Poor Communication between partners,null,null,null,null,null,null,null,null,null
31,32,No or I am not sure,r,null,null,null,null,null,null,null,null,null,null,null
